id,parent_id,type,text,category,deterministic,characteristic_form,group,entity,note,similarity_tier,synthetic_window_start,synthetic_window_end,query_run_at
633,47,IoT,enumerate every chiller installed at MAIN site,Knowledge Query,True,The expected response should be a list of all chiller assets for the site MAIN.  The returned value should be a reference to a file containing the list of chiller assets.,retrospective,Chiller,Source: IoT data operations; Deterministic query with single correct answer; Category: Knowledge Query,paraphrase,,,2026-02-23T01:59:09
634,120,FMSA,"To develop an anomaly detection model for POKMAIN chiller 6 chiller trip failure, what sensors should I utilize and what is their expected temporal behavior?",Knowledge Query,False,"the answer should contain how to build an anomaly model for identifying a chiller trip failure for POKMAIN chiller 6. The answer should include sensors that I should use, along with the temporal behavior,",prescriptive,Chiller,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,paraphrase,,,2024-07-20T15:29:40
635,210,TSFM,Are there any TSFM models that support a context length of 1024?,Knowledge Query,True,"The expected response should be: No, there is no model with context length 1024",retrospective,Equipment,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Knowledge Query,paraphrase,,,2025-04-08T16:26:30
636,617,multiagent,How does the power input change over time when the compressor motor in Chiller 6 at the MAIN site stops working?,Knowledge Query,False,the answer should describe the temporal behavior of the power input of Chiller 6,retrospective,Chiller,Source: Multi-agent coordination requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,paraphrase,,,2026-02-09T03:00:33
637,221,TSFM,"Tune a forecasting model for 'Chiller 9 Condenser Water Flow' with 1% of the data in 'chiller9_finetuning_small.csv', using 'Timestamp' as the timestamp column.",Tuning Query,True,The finetuned forecasting model is saved in save_model_dir=tunedmodels with result stored in results_file. Results are saved: {%JSON_RESULT},predictive,Chiller,Source: Time series forecasting needs; Deterministic query with single correct answer; Category: Tuning Query,paraphrase,,,2025-03-21T18:07:30
638,6,IoT,Retrieve the details of Chiller 9 at MAIN site.,Data Query,True,"The expected response should be the details for asset 'Chiller 9' at the MAIN site.  The details may be in the return value, or the may be returned as a reference to a file containing the details",retrospective,Chiller,Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query,paraphrase,,,2024-04-19T01:40:18
639,116,FMSA,"Develop a recipe for a machine learning algorithm to detect overheating failure mode of Chiller 6, specifying the required feature and target sensors.",Knowledge Query,False,the answer should be a machine learning recipe for detecting overheating failure for Chiller 6. the answer should include the sensors that can be used to detect the failure of overheating for Chiller 6,prescriptive,Chiller,Source: Failure mode analysis requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,paraphrase,,,2024-09-01T16:47:39
640,611,multiagent,What sensor is most crucial for tracking Evaporator Water side fouling in Chiller 6 at the MAIN site?,Knowledge Query,False,"the answer should contain one of more sensors of Chiller 6. The sensors of Chiller 6 need to be from the list [Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.] ",retrospective,Chiller,Source: Multi-agent coordination requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,paraphrase,,,2024-01-09T12:24:22
641,7,IoT,Retrieve metadata associated with Chiller 3 at MAIN site.,Data Query,True,"The expected response should be the metadata for asset 'Chiller 3' as the MAIN site.  The metadata may be in the return value, or the may be returned as a reference to a file containing the metadata",retrospective,Chiller,Source: IoT data operations; Deterministic query with single correct answer; Category: Data Query,paraphrase,,,2024-08-29T14:53:28
642,622,multiagent,"I've got the anomaly model output in '/tmp/tsad_conformal.csv', can you review it for anomalies and advise if a work order is necessary?",Knowledge Query,False,"The problem is solved by first checking if the anomaly file exists, then running anomaly detection if the data is available, and finally deciding whether a work order should be created based on the results.",retrospective;predictive,Equipment,Source: Multi-agent coordination requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query,paraphrase,,,2025-11-05T20:14:14
