id,type,text,category,deterministic,characteristic_form,group,entity,note
405,Workorder,"Get all the events of equipment CWC04009 for the June of 2020 and provide a summary based on the event group for work order, alert, and anomaly.",Knowledge Query,True,"There are 3 work order events, 30 alert events, and 30 anomaly events.  The expected response should retrieve and summarize events (work order, alert, anomaly) for CWC04009 during June 2020, grouped correctly by event type and time range (June 2020).",retrospective,Equipment,Source: Maintenance operations; Deterministic query with single correct answer; Category: Knowledge Query
411,Workorder,"Which corrective work orders for equipment CWC04009 in year 2017 can be bundled in the next maintenance window? A bundle means that several work orders are executed in a short period, say in two weeks.",Decision Support,False,"There are two bundles, one has 10, and another has 3 corrective work orders. The expected response should identify corrective work orders for CWC04009 in 2017 that can be bundled together for execution within a two-week maintenance window. Ensure the calculation and bundile is correct",prescriptive,Equipment,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
412,Workorder,I would like to predict the next work order probability for the equipment labeled as CWC04013.,Prediction,False,The expected response should be able to identify the next likely work order for CWC04013 based on historical work order patterns.  It should be a list of work order with the probabilities (the summation of the probabilities should be one).,predictive,Equipment,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Prediction
416,Workorder,"When an anomaly happens for equipment CWC04009, can you recommend top three work orders to address this problem?",Decision Support,False,"It gives a list of work order with a primary failure code. Based on an anomaly in CWC04009, recommend the top three most appropriate work orders for remediation.",prescriptive,Equipment,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
418,Workorder,"Just notice two anomalies 'KPI Cooling Load above upper bound' and 'KPI Delta Setpoint above upper bound' happened for equipment CWC04009, can you recommend top three work orders to address this problem?",Decision Support,False,"The output will be a list of the primilar failure codes with three work order types.  Upon observing two anomalies, recommend the top three corrective actions for CWC04009 to address both issues.",prescriptive,Equipment,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
419,Workorder,"Using your knowledge of the industrial asset, can you suggest me a work order for alert RUL0014 with the context of 'Chiller - Cooling Substance Delta T Low' for closed-loop water-cool chiller its load is higher than the upper bound?",Decision Support,False,The output will be a one or more the primilar failure codes with their work order types. Recommend an appropriate work order to address the alert RUL0014 for the cooling issue in the closed-loop water-cooled chiller.,prescriptive,Chiller,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
423,Workorder,I am using historical work order information upto end of June 2020 for prioritizing maintenance. Which work orders should I prioritize first for Chiller 9 with equipment ID CWC04009 in July 2020?,Decision Support,False,The output will be zeor or more the primilar failure codes recommendaed as possible work orders with priorities. Use historical work order data up to June 2020 to prioritize the most urgent work orders for Chiller 9 (CWC04009) in July 2020.,prescriptive,Chiller,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
424,Workorder,"Can you provide guidance on bundling corrective work orders together to optimize the maintenance schedule for Chiller 9 with equipment ID CWC04009 covering years of 2017, 2018 and 2019, bundle has to be happen within two weeks and have at least two work orders, also tell the details of each bundle?",Decision Support,False,"There will be three bundles generated with the size of 15, 6 and 2 respectively.  Suggest bundles of corrective work orders for CWC04009 across 2017–2019, ensuring each bundle contains at least two work orders scheduled within a two-week window.",prescriptive,Chiller,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
425,Workorder,How can I analyze anomalies across multiple KPIs to better diagnose the root cause of these issues?,Decision Support,False,"Based on the utilzied LLM, the process begins with collecting and cleaning historical KPI and maintenance data, followed by detecting anomalies across key performance indicators. These anomalies are then analyzed for correlations, leading to root cause hypotheses that are validated with logs and expert input, ultimately guiding the bundling of corrective work orders into optimized maintenance actions. Provide a method to analyze anomalies across multiple KPIs for more accurate root cause diagnosis.",prescriptive,Equipment,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
427,Workorder,"Since we know 80% of alerts are likely spurious, can you identify the meaningful 20% for further analysis for any chillers?",Decision Support,False,"The results may vary, and the actual outcome depends on the specific LLM used. Filter and prioritize the most meaningful 20% of alerts from chillers for detailed analysis, excluding the spurious ones.",prescriptive,Chiller,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
428,Workorder,Could you generate rules that help distinguish meaningful alerts from spurious ones?,Decision Support,False,"Depends on the LLM utuilzied, the outcome could be 1) Real thredholds for meaning alert; or 2) the steps to generate such rules.  Develop rules or criteria to distinguish genuine alerts from spurious or false positives in operational monitoring.",prescriptive,Equipment,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
429,Workorder,How can reasoning on operation alerts help in generating significant warning message to improve maintenance recommendations for Chiller 9 with equipment ID CWC04009?,Decision Support,False,The output will be one or more the alter rule codes. Explain how operational alert reasoning can be used to improve the generation of actionable warning messages for Chiller 9 (CWC04009).,prescriptive,Chiller,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
432,Workorder,"I would like to review the performance of chiller 9 with equipment ID CWC04009 at main site site for June 2020 and track any anomalies or operation alerts. Tell me what corrective work orders have been scheduled, and whether new work order should generate.",Decision Support,False,"The output will be zero or more the primilar failure code with corresponding work order type. The outcome dependes on the LLM utilzied. Review June 2020 performance of Chiller 9 (CWC04009) at main site, track anomalies and alerts, and evaluate corrective work order needs.",retrospective;predictive,Chiller,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
434,Workorder,"We are building an early detection system for a potential failure condenser Water side fouling for Chiller 9. Monitor Chiller 9 at main site site from 2020-04-20T12:30:00 to 2020-05-12T19:30:00, identify anomalous behaviors and provide a work order recommendation if there is no such corrective work order created already.",Decision Support,False,"The output could be a description of anomalous for fouling and/or a work order recommendation.. Detect condenser fouling anomalies for Chiller 9 (CWC04009) between 2020-04-20 and 2020-05-12, and recommend a work order only if none already exists.",prescriptive,Chiller,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
436,Workorder,Build a predictive model from historical alerts and work orders of CWC04009 to forecast failures and replacement needs over the forthcoming 10-year horizon.,Prediction,False,"Leverage ALERT and WORK_ORDER records (features: description, event_group, event_category, event_time) for CWC04009 to train and validate a model that predicts the likelihood and timing of future failures or required replacements.",retrospective;predictive;prescriptive,Equipment,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Prediction
438,Workorder,"Rank alert descriptions for CWC04009 by how strongly they predict subsequent corrective work orders, supporting long-term failure-risk mitigation.",Decision Support,False,"For each alert description on CWC04009, compute the conditional probability that a CM WORK_ORDER follows within a set window; sort descriptions by predictive strength.",predictive,Equipment,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
440,Workorder,"Using historical counts, project how many preventive (PM) and corrective (CM) work orders each major description category is likely to generate for CWC04009 over the coming decade.",Prediction,False,Aggregate yearly PM and CM WORK_ORDER counts for CWC04009 by description and extrapolate future volumes with a simple trend or time-series model.,predictive,Equipment,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Prediction
442,Workorder,Examine whether the year-over-year increase in corrective maintenance for CWC04009 warrants shifting resources from annual repairs toward multi-year replacement planning.,Decision Support,False,"Plot CM WORK_ORDER counts per year for CWC04009, assess the upward trend, and recommend budget reallocation if growth is significant.",prescriptive,Equipment,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
444,Workorder,Quantify how often alerts and corrective work orders cluster together for CWC04009 to identify high-risk operational periods in the years ahead.,Decision Support,False,Use rolling windows on event_time to count co-occurrences of ALERT and CM WORK_ORDER events for CWC04009; flag windows with elevated counts.,prescriptive,Equipment,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
445,Workorder,Identify which alert descriptions for CWC04009 show the steepest upward trend and therefore require priority in the 10-year capital-planning roadmap.,Decision Support,False,"Group ALERT events for CWC04009 by description, compute yearly counts, calculate trend slopes, and list the descriptions with the largest positive slopes.",prescriptive,Equipment,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
446,Workorder,Determine which alert or work-order descriptions account for the highest event counts on CWC04009 and should therefore drive allocation of funds in the next 10-year capital budget.,Decision Support,False,"Aggregate ALERT and WORK_ORDER events for CWC04009 by description, rank by total count, and provide the top contributors as budget-prioritisation drivers.",prescriptive,Equipment,Source: Maintenance operations; Non-deterministic query allowing multiple valid responses; Category: Decision Support
502,multiagent,What is the forecast for 'Chiller 9 Condenser Water Flow' in the week of 2020-04-27 based on data from the MAIN site?,Knowledge Query,True,"The expected response should confirm the successful execution of all required actions, ensuring that the correct variables, including the asset ('Chiller 9'), location (MAIN), and time range (week of 2020-04-27), were used for data retrieval and analysis. It should specify that the agent identified the sensors for the asset and site, then located the specific sensor, 'Chiller 9 Condenser Water Flow'. The response must confirm that the agent retrieved the time-series data for this sensor within the specified timeframe and provided the correct file path where the data is stored. Additionally, the response should verify that TSFMAgent was called to analyze the data and perform forecasting using the specified model checkpoint 'ttm_96_28'. The response should confirm that the agent successfully read the JSON file, performed the time-series forecasting, and stored the results in the designated file path.",predictive,Chiller,Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query
507,multiagent,What is the predicted energy consumption for Chiller 9 in the week of 2020-04-27 based on data from the MAIN site?,Knowledge Query,True,"The expected response should confirm the successful execution of all required actions, ensuring that the correct asset ('Chiller 9'), location (MAIN), and time range (week of 2020-04-27) were used for data retrieval and analysis. It should specify that the agent identified the sensor name (power input sensor) and retrieved the historical energy consumption data for Chiller 9 during the specified time period. The response must also explain that the agent attempted to analyze the data for energy consumption prediction, but was unable to do so due to insufficient data, as the power input for Chiller 9 was consistently 0.0 from 2020-04-20 to 2020-04-25, indicating that the chiller was not operating.",predictive,Chiller,Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query
508,multiagent,Have there been any anomalies in Chiller 6's performance metrics from the week of 2020-04-27 at MAIN?,Knowledge Query,True,"The expected response should confirm the successful execution of all required actions, ensuring that the correct asset ('Chiller 6'), location (MAIN), and time range (week of 2020-04-27) were used for data retrieval and analysis. It should specify that the agent successfully retrieved the Chiller 6 Tonnage sensor data for the specified time range and location. The response must confirm that the agent called TSFMAgent to perform anomaly detection on the data and that the results were saved correctly. Additionally, it should explicitly mention that there were anomalies detected in the Chiller 6 Tonnage data during the specified week.",retrospective,Chiller,Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query
510,multiagent,What are the anomaly detection results for Chiller 9's Tonnage and Power Input in the week of 2020-04-27 at the MAIN site?,Knowledge Query,True,The expected response should confirm that the agent successfully executed all required actions to retrieve the time-series data for Chiller 9's Tonnage and Power Input at the MAIN site for the specified time range (2020-04-27 to 2020-05-03). It should specify that the agent determined the data does not exist for the requested time period. The response must also mention that the agent attempted multiple actions to retrieve the data and provided clear evidence of the error encountered during the process.,predictive,Chiller,Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query
513,multiagent,What is the forecast for Chiller 6's Setpoint Temperature for next week based on the week of 2020-04-27 data?,Knowledge Query,True,"The expected response should confirm the successful execution of all required actions to address the question regarding the forecast for Chiller 6 Setpoint Temperature for the next week, based on data from the week of 2020-04-27. It should specify that the agent first requested and downloaded the data from IoTAgent, then used TSFMAgent to analyze the data and generate a forecast. The response should explain that the agent identified the data had a constant value of 45.5 and produced a forecast with the same constant value for the next week. Additionally, the response should mention that the agent handled the error encountered during the forecasting process by selecting a pretrained model, successfully completing the task.",predictive,Chiller,Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query
515,multiagent,Can you predict Chiller 9's performance for next week based on data from the week of 2020-04-27 at MAIN?,Knowledge Query,True,"The expected response should confirm the successful execution of all required actions to address the question regarding the forecasting of Chiller 9's performance for the next week, using data from the specified time period and location. It should specify that the agent first retrieved the performance data for Chiller 9 and then used TSFMAgent to generate the prediction. The response must clarify that the forecasting results were successfully stored and the model used was 'ttm_96_28'.",predictive,Chiller,Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query
603,multiagent,List all installed sensors of asset Chiller 6 at MAIN site.,Knowledge Query,True,"The installed sensors of asset Chiller 6 are: Chiller 6 Chiller % Loaded, Chiller 6 Chiller Efficiency, Chiller 6 Condenser Water Flow, Chiller 6 Condenser Water Return To Tower Temperature, Chiller 6 Liquid Refrigerant Evaporator Temperature, Chiller 6 Power Input, Chiller 6 Return Temperature, Chiller 6 Schedule, Chiller 6 Supply Temperature, Chiller 6 Tonnage.",retrospective,Chiller,Source: Multi-agent coordination requirements; Deterministic query with single correct answer; Category: Knowledge Query
605,multiagent,List all failure modes of Chiller 6 at MAIN site that can be detected by temperature sensors.,Knowledge Query,False,"the answer should contain one or more failure modes of Chiller 6. The failure modes of Chiller 6 need to be from the list ['Compressor Overheating: Failed due to Normal wear, overheating', 'Heat Exchangers: Fans: Degraded motor or worn bearing due to Normal use', 'Evaporator Water side fouling', 'Condenser Water side fouling', 'Condenser Improper water side flow rate', 'Purge Unit Excessive purge', 'Refrigerant Operated Control Valve Failed spring']",retrospective,Chiller,Source: Multi-agent coordination requirements; Non-deterministic query allowing multiple valid responses; Category: Knowledge Query
